UNINTER - Visitantes,-77dBm,1
UNINTER - Eventos,-77dBm,1
UNINTER - Alunos,-76dBm,1
UNINTER - Alunos,-78dBm,1
UNINTER - Administrativo,-76dBm,1
LG K4 (NOVO),-76dBm,1
UNINTER - Alunos,-78dBm,1
FRANCINI,-77dBm,2
UNINTER - Visitantes,-65dBm,6
UNINTER - Eventos,-65dBm,6
UNINTER - Alunos,-64dBm,6
UNINTER - Alunos,-82dBm,6
UNINTER - Administrativo,-65dBm,6
Hotel Del Rey,-85dBm,6
Liquori Rua XV,-85dBm,10
PETTERS,-70dBm,11
UNINTER - Eventos,-78dBm,11
UNINTER - Alunos,-66dBm,11
UNINTER - Alunos,-77dBm,11
UNINTER - Visitantes,-77dBm,11
UNINTER - Eventos,-77dBm,11
UNINTER - Alunos,-78dBm,11
UNINTER - Administrativo,-78dBm,11
SSID,Strength,Primary Channel
PETTERS,-68dBm,11
Make Up By Carol Leal,-85dBm,2
FRANCINI,-82dBm,2
UNINTER - Visitantes,-71dBm,6
UNINTER - Visitantes,-80dBm,1
UNINTER - Eventos,-71dBm,6
UNINTER - Eventos,-80dBm,1
UNINTER - Alunos,-71dBm,6
UNINTER - Alunos,-80dBm,1
UNINTER - Administrativo,-71dBm,6
UNINTER - Administrativo,-80dBm,1
AndroidAP,-81dBm,11
LG K4 (NOVO),-74dBm,1
AGIL,-88dBm,10
UNINTER - Visitantes,-79dBm,11
UNINTER - Eventos,-80dBm,11
UNINTER - Alunos,-81dBm,11
UNINTER - Administrativo,-79dBm,11
SSID,Strength,Primary Channel
linksys,-76dBm,6
CARLINHOS,-78dBm,11
GVT-0FA9,-78dBm,1
GVT-22A1,-81dBm,9
#NET-CLARO-WIFI,-75dBm,11
#NET-CLARO-WIFI,-66dBm,1
#NET-CLARO-WIFI,-67dBm,6
F_ Sanches,-80dBm,11
#NET-CLARO-WIFI,-77dBm,11
VIVO-2FD4,-83dBm,1
eduroam,-76dBm,11
GVT-132A,-87dBm,1
#NET-CLARO-WIFI,-84dBm,1
UFPR_SEM_FIO,-74dBm,1
eduroam,-74dBm,1
casa1704,-76dBm,11
DEPIL-CLIENTES,-80dBm,1
MVK2,-75dBm,2
PIETTA,-75dBm,10
comanda,-77dBm,13
Thom_D017658,-82dBm,6
MM-CAST,-86dBm,6
AP 71,-78dBm,1
GVT-A7F9,-76dBm,11
Acabou o leite,-83dBm,1
Virus detectado 2,-83dBm,1
EBANXGuest,-77dBm,6
#NET-CLARO-WIFI,-85dBm,1
EDITH SILVA,-84dBm,11
ARRIS-63D2,-77dBm,6
#NET-CLARO-WIFI,-79dBm,11
FRANCINI,-77dBm,2
UNINTER - Visitantes,-65dBm,6
UNINTER - Visitantes,-77dBm,1
UNINTER - Eventos,-65dBm,6
UNINTER - Eventos,-77dBm,1
UNINTER - Eventos,-78dBm,11
UNINTER - Alunos,-64dBm,6
UNINTER - Alunos,-66dBm,11
UNINTER - Alunos,-77dBm,11
UNINTER - Alunos,-82dBm,6
UNINTER - Alunos,-76dBm,1
UNINTER - Alunos,-78dBm,1
UNINTER - Administrativo,-65dBm,6
UNINTER - Administrativo,-76dBm,1
LG K4 (NOVO),-76dBm,1
Hotel Del Rey,-85dBm,6
Liquori Rua XV,-85dBm,10
UNINTER - Visitantes,-77dBm,11
UNINTER - Eventos,-77dBm,11
UNINTER - Alunos,-78dBm,1
UNINTER - Alunos,-78dBm,11
UNINTER - Administrativo,-78dBm,11
SSID,Strength,Primary Channel
PETTERS,-68dBm,11
Make Up By Carol Leal,-85dBm,2
FRANCINI,-82dBm,2
UNINTER - Visitantes,-71dBm,6
UNINTER - Visitantes,-80dBm,1
UNINTER - Eventos,-71dBm,6
UNINTER - Eventos,-80dBm,1
UNINTER - Alunos,-71dBm,6
UNINTER - Alunos,-80dBm,1
UNINTER - Administrativo,-71dBm,6
UNINTER - Administrativo,-80dBm,1
AndroidAP,-81dBm,11
LG K4 (NOVO),-74dBm,1
AGIL,-88dBm,10
UNINTER - Visitantes,-79dBm,11
UNINTER - Eventos,-80dBm,11
UNINTER - Alunos,-81dBm,11
UNINTER - Administrativo,-79dBm,11
SSID,Strength,Primary Channel
HP-Print-73-Officejet Pro 8600,-74dBm,6
Niponcred WIFI,-88dBm,5
Oi WiFi,-86dBm,1
VIVO-1D59,-60dBm,6
Cedaspy,-88dBm,5
Palace 2 Andar,-87dBm,11
Cedaspy,-82dBm,5
BONAPARTE W3,-79dBm,11
BONAPARTE 2G,-77dBm,1
ANASPS,-86dBm,2
Lab e Bib IPPEO,-86dBm,11
Visomaxx,-81dBm,5
Oi WiFi Fon,-80dBm,5
RC-INTERNO,-76dBm,11
Neurologic,-85dBm,10
AndroidAPBF23,-83dBm,11
brrnstad-mobi,-74dBm,11
BoiKo Barao,-73dBm,11
VIVO-5934,-76dBm,6
rnstadbr-guest,-79dBm,11
VIVOFIBRA-6318,-61dBm,11
DIRECT-6e-HP M102 LaserJet,-69dBm,6
Nucleo,-83dBm,6
SSID,Strength,Primary Channel
SERTA,-80dBm,6
CWB,-81dBm,10
default,-79dBm,6
GVT-0F68,-71dBm,11
ALHN-D869,-75dBm,1
CONST_ROCA,-79dBm,6
BONAPARTE W3,-80dBm,11
CLARO_2GA96642,-87dBm,9
SSID,Strength,Primary Channel
GVT-7EB4,-80dBm,11
Orthodontic Center Livre,-76dBm,1
aderbal,-76dBm,10
Oi WiFi Fon,-80dBm,11
VIVOFIBRA-AB91,-77dBm,6
dlink-4188,-80dBm,2
NET_2G1667C9,-83dBm,11
ROGERIO,-83dBm,11
#NET-CLARO-WIFI,-82dBm,11
INTELBRAS,-86dBm,4
HP-Print-44-LaserJet 1102,-77dBm,6
Imobiliaria Fenix,-82dBm,11
DIRECT-52-HP M426 LaserJet,-77dBm,6
Kloss,-76dBm,6
UFPR_SEM_FIO,-67dBm,11
eduroam,-69dBm,11
REGINATO,-77dBm,6
REGINATO,-82dBm,11
NET_2G581E79,-74dBm,11
Fidcargo,-81dBm,6
HELLFEST,-81dBm,11
Oi AF5B,-82dBm,11
DIRETORIA,-81dBm,1
NET_2GCECE74,-77dBm,8
#NET-CLARO-WIFI,-76dBm,8
Moto G Play 6084,-75dBm,2
ALHN-9119,-82dBm,1
ALHN-A525,-80dBm,1
CIPEAD2,-73dBm,3
CIPEAD,-75dBm,3
SSID,Strength,Primary Channel
linksys,-76dBm,6
CARLINHOS,-78dBm,11
GVT-0FA9,-78dBm,1
GVT-22A1,-81dBm,9
#NET-CLARO-WIFI,-75dBm,11
#NET-CLARO-WIFI,-66dBm,1
#NET-CLARO-WIFI,-67dBm,6
F_ Sanches,-80dBm,11
#NET-CLARO-WIFI,-77dBm,11
VIVO-2FD4,-83dBm,1
eduroam,-76dBm,11
GVT-132A,-87dBm,1
#NET-CLARO-WIFI,-84dBm,1
UFPR_SEM_FIO,-74dBm,1
eduroam,-74dBm,1
casa1704,-76dBm,11
DEPIL-CLIENTES,-80dBm,1
MVK2,-75dBm,2
PIETTA,-75dBm,10
comanda,-77dBm,13
Thom_D017658,-82dBm,6
MM-CAST,-86dBm,6
AP 71,-78dBm,1
GVT-A7F9,-76dBm,11
Acabou o leite,-83dBm,1
Virus detectado 2,-83dBm,1
EBANXGuest,-77dBm,6
#NET-CLARO-WIFI,-85dBm,1
EDITH SILVA,-84dBm,11
ARRIS-63D2,-77dBm,6
#NET-CLARO-WIFI,-79dBm,11
SSID,Strength,Primary Channel
linksys,-79dBm,6
slvm,-85dBm,13
CARLINHOS,-80dBm,11
Imob2000-Clientes,-87dBm,13
GVT-0FA9,-81dBm,1
GVT-22A1,-78dBm,9
VIVO-F571,-83dBm,9
#NET-CLARO-WIFI,-54dBm,1
#NET-CLARO-WIFI,-62dBm,6
F_ Sanches,-73dBm,11
#NET-CLARO-WIFI,-73dBm,11
UFPR_SEM_FIO,-71dBm,1
eduroam,-71dBm,1
FacilPrevNet,-77dBm,4
casa1704,-80dBm,11
#NET-CLARO-WIFI,-82dBm,11
CopelFibra40,-76dBm,11
VIVO-2FD4,-82dBm,1
eduroam,-76dBm,1
GVT-132A,-79dBm,1
#NET-CLARO-WIFI,-84dBm,1
TP-Link_2.4GHz_0CA413,-78dBm,13
casa1704,-80dBm,11
DEPIL-CLIENTES,-78dBm,1
Sale Pepe Restaurante,-81dBm,3
MVK2,-76dBm,2
#NET-CLARO-WIFI,-82dBm,11
#NET-CLARO-WIFI,-82dBm,11
CopelFibra40,-76dBm,11
urso panda 2,-78dBm,8
GVT-132A,-75dBm,1
GRUPO.ALLCROSS,-73dBm,5
Tech_G0056219,-86dBm,11
ALLCROSS-DMZ,-76dBm,11
HUAWEI-YP9g,-79dBm,11
GVT-0599,-80dBm,11
Joelma,-80dBm,9
Disk Ingressos,-74dBm,10
TP-Link_2.4GHz_0CA413,-78dBm,13
